Row_Number,Time,Main_Engine_Fuel_Consumption_MT_day,Main_Engine_Using_HFO_bool,Main_Engine_Using_MGO_bool,Draft_Forward_meters,Draft_Aft_meters,Draft_Mid_1_meters,Draft_Mid_2_meters,Speed_Over_Ground_knots,Speed_Through_Water_knots,Heading_degrees,Rudder_Angle_degrees,Weather_Service_Apparent_Wind_Speed_knots,Weather_Service_Apparent_Wind_Direction_degrees_from_bow,Weather_Service_True_Wind_Speed_knots,Weather_Service_True_Wind_Direction_degrees_from_north,Weather_Service_Temperature_celsius,Water_Depth_meters,id
33,2017-07-07T18:00:00,37.39199411895632,0.0,0.0,0.0,0.0,0.0,11.380982922995141,15.641470390370117,15.6538615534452,80.00648758944216,357.9602312108121,6.124518720111578,-5.7911013357848065,9.568186058100968,256.30338098862944,22.939285877514067,0.0,10
34,2017-07-07T19:00:00,37.868309853052736,0.0,0.0,0.0,0.0,0.0,11.371985974089883,15.585164989612418,15.844849052697509,78.04869840307205,357.66375335020757,5.849275245192559,20.40918400559767,10.306926155555105,269.4630629611453,22.940532925354034,0.0,10
35,2017-07-07T20:00:00,37.79300561151568,0.0,0.0,0.0,0.0,0.0,11.37282444105034,15.89899453457944,16.05043497956485,79.43219876262532,357.8323804364109,5.02019941775023,-52.931488654441694,13.481801459894474,242.14757706714514,23.505309407664015,0.0,10
36,2017-07-07T21:00:00,37.8161470701049,0.0,0.0,0.0,0.0,0.0,11.371501747538108,15.877882513354349,15.95126191805523,79.5901898972499,357.99306390889166,4.474020318286593,-54.720574589632584,13.786442270254348,244.22781816321776,23.862998622965506,0.0,10
37,2017-07-07T22:00:00,37.82619767069564,0.0,0.0,0.0,0.0,0.0,11.37769852481185,15.779098668308391,15.99630867980265,79.9995401971585,358.5149989307724,3.2771723735091034,-59.94486382376676,14.419529167881867,248.65461886398938,24.205121391113266,0.0,10
38,2017-07-07T23:00:00,37.804109152554545,0.0,0.0,0.0,0.0,0.0,11.384252293337534,15.661307824239017,15.9453266887588,79.71999044779119,358.279643568664,1.3384478004866853,-68.89047900690315,15.230532257590868,255.017490066777,24.579321093139697,0.0,10
39,2017-07-08T00:00:00,37.9838860402482,0.0,0.0,0.0,0.0,0.0,11.381059928180301,15.799822688828815,15.937374068999176,78.02163315849273,358.3339115342602,2.5770019202983923,82.7075270827363,15.682435332462973,267.40240667961353,24.78253054484054,0.0,10
40,2017-07-08T01:00:00,37.993609574160516,0.0,0.0,0.0,0.0,0.0,11.383777727142093,15.994168774267816,15.83485053244689,78.96302191173933,359.01299163905685,4.902330822555577,108.27148495088343,18.138678640826665,273.8339790793895,24.926009188995295,0.0,10
41,2017-07-08T02:00:00,37.99855749371094,0.0,0.0,0.0,0.0,0.0,11.381646592903067,16.465973586999592,15.814861222061833,78.2067505947851,358.6527259614946,5.6290794303017995,61.747964068351656,14.665150993509588,277.96882900212916,25.00513220693972,0.0,10
42,2017-07-08T03:00:00,37.49444912829001,0.0,0.0,0.0,0.0,0.0,11.386642797503075,16.511789807023334,15.787003946189357,79.9413575583858,358.61041400887353,4.445631068985618,50.084688566256595,14.078391424948622,273.9577157655539,25.049437729207398,0.0,10
